用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
浅唐色,保密,比成天刷没营养的短视频好太多了，我现在每天逼着自己看各种纪录片。,,一级评论,5,671,2024-02-14 12:10:07
Mm梦梦姐,保密,有什么推荐吗,浅唐色,二级评论,2,1,2024-03-11 10:30:13
王春雪律师,女,回复 @Mm梦梦姐 : 央视出的都可以找看看,浅唐色,二级评论,4,7,2024-03-14 11:13:18
碍事栗233,女,可以,浅唐色,二级评论,5,0,2024-04-13 13:57:39
香泠blue,保密,其实纪录片蛮好看的。一般来说，央视出的质量最好[打call],浅唐色,二级评论,5,32,2024-04-14 12:11:00
小小米2023,保密,是的是的，我也是看纪录片，看了敦煌,浅唐色,二级评论,3,3,2024-04-17 17:15:54
小小米2023,保密,回复 @Mm梦梦姐 :下载央视频，纪录片好多，不过b站有的也可以看，推荐书简阅中国特别好,浅唐色,二级评论,3,11,2024-04-17 17:16:54
83170094703_bili,保密,像你学习,浅唐色,二级评论,5,0,2024-04-18 14:04:02
魔法咪路喵喵,保密,"祥子是一个穷苦的车夫，他一直渴望能摆脱贫困，过上更好的生活。他看到那些穿着长衫的读书人，心中充满了羡慕和向往。他觉得，只要穿上了孔乙己的长衫，他就能证明自己与其他车夫不同，就能在其他车夫面前高人一等。

于是，祥子拼命地想把孔乙己的长衫往自己身上穿。他省吃俭用，积攒了一些钱，买了一件破旧的长衫。他穿着长衫，在街上走来走去，觉得自己变得与众不同了",浅唐色,二级评论,5,56,2024-05-04 11:52:59
一只咲猫,保密,说的太有道理了,浅唐色,二级评论,5,1,2024-05-24 16:22:57
日月食爱,保密,回复 @魔法咪路喵喵 :谢谢你告诉我这些，魔法咪路，这就是为什么有些人只知道鲁迅笔下的人物,浅唐色,二级评论,6,7,2024-06-01 22:58:04
软妹爱撕纸,保密,回复 @魔法咪路喵喵 :哈哈哈哈哈哈哈笑死，人家就说了句看纪录片给你刺激的，人家说看纪录片比看短视频好，你在这洋洋洒洒扯了一堆说看纪录片你也成不了文化人哈哈，笑死我了,浅唐色,二级评论,5,47,2024-06-08 00:17:03
软妹爱撕纸,保密,回复 @魔法咪路喵喵 :对不起，冤枉你了，本来以为你只是蠢，看到这条才明白，你是坏哈哈哈哈哈哈哈,浅唐色,二级评论,5,19,2024-06-08 00:17:47
阿芙樂爾,男,回复 @魔法咪路喵喵 :哈哈哈，读了一本老舍的书，知道鲁迅写的角色就不可一世，在这里大肆批判。可笑可笑，请问你是什么学历呢？你连祥子都不如[大笑][大笑],浅唐色,二级评论,5,20,2024-06-08 00:33:52
阿芙樂爾,男,回复 @魔法咪路喵喵 :毛主席说多读书，多自我批判。你倒是不读书，多批判他人,浅唐色,二级评论,5,27,2024-06-08 00:34:25
魔法咪路喵喵,保密,回复 @阿芙樂爾 :读书是让你有优越感的吗？然后看不起别人？你是有多自卑？需要在读书这里找优越感？,浅唐色,二级评论,5,0,2024-06-08 09:23:05
阿芙樂爾,男,回复 @魔法咪路喵喵 :别人说了一句纪录片比短视频好就踩着你狗尾巴了？[大笑][大笑],浅唐色,二级评论,5,15,2024-06-09 16:05:44
阿芙樂爾,男,回复 @魔法咪路喵喵 :你看看又批判起别人了，还一套一套的脏话，丢人现眼，你也配讲为国为民？,浅唐色,二级评论,5,7,2024-06-09 16:07:25
阿芙樂爾,男,回复 @魔法咪路喵喵 :说别人读书读狗肚子里了，我看你就是狂犬吠日的狗，满嘴脏话，蔑视他人，真替你害臊，无耻之徒，止增笑耳,浅唐色,二级评论,5,4,2024-06-09 16:08:55
阿芙樂爾,男,回复 @魔法咪路喵喵 :有本事你也上个大学，还恬不知耻的辱骂他人，你越反对什么，你就越没有什么。你在这画靶射箭，曲解他人，文盲地痞一个,浅唐色,二级评论,5,4,2024-06-09 16:10:33
